,activity_vector,freezing_vector
564,0.6417130445749472,1
565,0.635412154902559,1
566,0.5966376889102297,1
567,0.650643869950994,1
568,0.6257386692575061,1
569,0.6122373637210022,1
570,0.6110982717660347,1
571,0.59474587055502,1
572,0.5670043405719666,1
573,0.6159697171428246,1
574,0.6180301255300191,1
575,0.610796143919124,1
576,0.5872870770065843,1
577,0.612198663600087,1
578,0.6092089884822398,1
579,0.6088165199328006,1
580,0.6285179221149901,1
581,0.628391976245044,1
582,0.6661804992529993,1
583,0.5944162277379079,1
584,0.6060053728640775,1
585,0.6302401978363118,1
586,0.6063351287208827,1
587,0.6067671300402704,1
588,0.5892029264341282,1
589,0.5880527841538131,1
590,0.6118001962258754,1
591,0.6016840873373807,1
592,0.6190255324330344,1
593,0.581950922133742,1
594,0.6100582223036027,1
595,0.5981520369807845,1
596,0.5896242436193235,1
597,0.5790425521087271,1
598,0.5628400484680244,1
599,0.5920884194982666,1
600,0.5471875849748044,1
601,0.5580668166554298,0
602,0.5613119044839678,0
603,0.5999290074364642,0
604,0.5633020799996505,0
605,0.5707591725801895,0
606,0.5930290863613871,0
607,0.5752315138157452,0
608,0.5494798403379165,0
609,0.5752206865594759,0
610,0.5651899553926469,0
611,0.5450623060517573,0
612,0.5609962836898,0
613,0.5666190768965598,0
614,0.5793752671129354,0
615,0.5804513278537462,0
616,0.5883273741534899,0
617,0.5688595042677448,0
618,0.5534912697954422,0
619,0.588633297099708,0
620,0.6015924037759394,0
621,0.5795582241824991,0
622,0.5435519995321494,0
623,0.5484020489039746,0
624,0.5491050011522383,0
625,0.5644849366443753,0
626,0.5677682463337421,0
627,0.5238687543960836,0
628,0.5295371298392212,0
629,0.5839313023197173,0
630,0.5683421806812501,1
631,0.5765689100947932,1
632,0.5681161157297512,1
633,0.5923939963256791,1
634,0.5579665855000824,1
635,0.5763173844151621,1
636,0.5497491862891319,1
637,0.5307506438460231,1
638,0.5588454033996256,1
639,0.5706851031735087,1
640,0.5960474491365274,1
641,0.5895318377293163,1
642,0.5320804517546271,1
643,0.5178873364331278,1
644,0.5346102150932054,1
645,0.5398053685037779,1
646,0.5127832077089363,1
647,0.5442107931956175,1
648,0.5845992525879572,1
649,0.5654145813926945,1
650,0.5789672737640605,1
651,0.597875031680773,1
652,0.5603715299417308,1
653,0.5763796454705847,1
654,0.5594653755182126,1
655,0.6042305363345493,1
656,0.5790554501409572,1
657,0.6068847161019015,1
658,0.5871548961975741,1
659,0.5523047367114329,1
660,0.5845285904044433,1
661,0.580313522199448,1
662,0.5884701179184922,1
663,0.6180178391594782,1
664,0.5714901878118887,1
665,0.6193390167060249,1
666,0.5971763071012178,1
667,0.600087990872931,1
668,0.6290942672664811,1
669,0.6589123225696243,1
670,0.6336958800196543,0
671,0.6153759248390697,0
672,0.6076176168872064,0
673,0.6173032572436261,0
674,0.6433540110961438,1
675,0.6460689411115205,1
676,0.6427445194401817,1
677,0.6377420068063159,1
678,0.6409501846743028,1
679,0.5928619954044182,1
680,0.5787873803414548,1
681,0.6026790900688079,1
682,0.5917544275869322,1
683,0.5659406469230642,1
684,0.6381834476301724,1
685,0.593821989086528,1
686,0.6010778146986008,1
687,0.5533213459691068,1
688,0.5721180704707056,1
689,0.5889848966642058,1
690,0.598628906661368,1
691,0.6039622875700396,0
692,0.5622531932076201,0
693,0.5974371015333628,0
694,0.5707455028392653,0
695,0.5735832193432687,0
696,0.5817625269949149,0
697,0.5592889012521388,0
698,0.5544102245300944,0
699,0.5327479723372839,0
700,0.541049459498637,0
701,0.5574008036296949,0
702,0.530229031433665,0
703,0.5908110165190222,0
704,0.57977239808858,0
705,0.5579481299137997,1
706,0.5359594986139922,1
707,0.5309020072649852,1
708,0.5595251966527787,1
709,0.5356280777546963,1
710,0.5094457571221492,1
711,0.5380351743975638,1
712,0.5777632240736919,1
713,0.5346107261002953,1
714,0.5463705339961797,1
715,0.5439343667993018,1
716,0.558476448818524,1
717,0.5809130166632989,1
718,0.5763854497245129,1
719,0.5497960001973883,1
720,0.5463333068197972,1
721,0.5220825374046201,1
722,0.5687140390149601,1
723,0.5940659660044554,1
724,0.5632107013513798,1
725,0.5325105538850179,1
726,0.5686507737259452,1
727,0.5444925160584216,1
728,0.5372117163152428,1
729,0.5010716347978929,1
730,0.5262545847591259,1
731,0.5509170091595291,1
732,0.5407687123922122,1
733,0.5244029332379564,1
734,0.5735183749635029,1
735,0.514356084411416,1
736,0.5263975136660807,1
737,0.524807346827112,1
738,0.5811871353945509,1
739,0.5631346446104308,1
740,0.5943492049848268,1
741,0.6012759887947899,1
742,0.6181726556275428,1
743,0.5671913813139614,1
744,0.5464407604392983,1
745,0.5574754040595711,1
746,0.5922582859613627,1
747,0.5534235556869107,1
748,0.553575291926581,1
749,0.5845991054736596,1
750,0.5676734134480463,1
751,0.5972233115376391,1
752,0.5720738337459517,1
753,0.5409713716799772,1
754,0.5775515358278859,1
755,0.5903502665314972,1
756,0.548159277600629,1
757,0.5687966674972136,1
758,0.5731557443403432,1
759,0.5403589906420676,1
760,0.57346448481433,1
761,0.5644830065918985,1
762,0.5486172124176312,1
763,0.5334752249684418,1
764,0.5450174731977073,1
765,0.5215821930756768,1
766,0.5270631356283055,1
767,0.5231365797479747,1
768,0.5038573308897489,1
769,0.5141595975403451,1
770,0.5084913605937759,1
771,0.5438699873096611,1
772,0.5660457326112576,1
773,0.5506868796690655,1
774,0.5667395472567122,1
775,0.5414055023048887,1
776,0.515272716719366,1
777,0.5358114282409046,1
778,0.5456908154232951,1
779,0.5609390915990412,1
780,0.5772462361236649,1
781,0.5471942415115917,1
782,0.5518817109251795,1
783,0.5472533459665713,1
784,0.5704633559865917,1
785,0.5866275061052011,1
786,0.5981084186380281,1
787,0.5628810107813618,1
788,0.5736384518737654,1
789,0.5458179270935735,1
790,0.5496825394033927,1
791,0.539193357511294,1
792,0.5385721449769563,1
793,0.5281508821958049,1
794,0.5401753149878946,1
795,0.5443638441446034,1
796,0.5706459097853988,1
797,0.5273440812562751,0
798,0.5439155911602666,0
799,0.5088945394782407,0
800,0.5443712428836424,0
801,0.5426231755849812,0
802,0.5334776416580173,0
803,0.5424129740775019,0
804,0.5466647014879054,0
805,0.5610897857775444,0
806,0.5527933892622403,0
807,0.5217172082036086,0
808,0.5011774423017364,0
809,0.5467243033055682,0
810,0.5562264304689218,0
811,0.5898130521321175,0
812,0.553066822928877,0
813,0.5116918162918259,0
814,0.5206736060529588,0
815,0.5117308550991102,0
816,0.5200540406186931,0
817,0.5351877901547857,0
818,0.5353970172984144,0
819,0.5434381085462607,0
820,0.5588125112448229,0
821,0.5841963332832468,0
822,0.6206000750002711,0
823,0.5641189252266274,0
824,0.5485454347509862,0
825,0.5402050338025569,0
826,0.5153052034828575,0
827,0.5838991121417838,0
828,0.5739575518752453,0
829,0.577977538441827,0
830,0.5523146490869986,0
831,0.5398921336610852,0
832,0.5463571144219964,0
833,0.5586024711267811,0
834,0.5639993714358412,0
835,0.5683904115239189,0
836,0.5614271278268053,0
837,0.5926047913924867,0
838,0.5695171087517664,0
839,0.5760356110652809,0
840,0.5794043372841525,0
841,0.6222031936184811,0
842,0.6155479439519099,0
843,0.5884654714090828,0
844,0.5705688125258063,0
845,0.552997028529828,0
846,0.589856839934871,0
847,0.5593172928778216,0
848,0.5800648027943682,0
849,0.6012840265052593,0
850,0.5687110472236997,0
851,0.6526613456570032,0
852,0.6391630819501133,0
853,0.5890240279118506,0
854,0.6395597019001759,0
855,0.6161061666206005,0
856,0.5973796349439014,0
857,0.6515325154501224,0
858,0.6433218451692397,0
859,0.6577659820547516,0
860,0.6846510166100921,0
861,0.7430282231422023,0
862,0.7269068658218966,0
863,0.7416318183573001,0
864,0.6947512197879642,0
865,0.6956728243264289,0
866,0.7380624735255189,0
867,0.7072574867278637,0
868,0.7715314857225579,0
869,0.7348810795348591,0
870,0.7596770710871122,0
871,0.7516350095480725,0
872,0.7551256818470754,1
873,0.8364918790149641,1
874,0.8108306062263391,1
875,0.827000847816591,1
876,0.814880561136077,1
877,0.8251664765177202,1
878,0.833123864686,1
879,0.8907720565467482,1
880,0.8413573590407974,1
881,0.8965213234855353,1
882,0.9289105730864121,1
883,0.9074873323648759,1
884,0.9728877679793396,1
885,0.9804815309298935,1
886,1.0844524650164271,1
887,1.067372739485052,1
888,1.04418966733707,1
889,1.0562050526668458,1
890,1.109025154404107,1
891,1.0851982100777464,1
892,1.0828358786747327,1
893,1.104270486385339,1
894,1.097413670890104,1
895,1.0945081784674586,1
896,1.070612902292453,1
897,1.109851422734158,1
898,1.1350941142669644,1
899,1.1535893440010019,1
900,1.21516782662358,1
901,1.2493457336704883,1
902,1.2321852124716177,1
903,1.2604840774265464,0
904,1.2425357402974675,0
905,1.2691910824452572,0
906,1.2795909112265023,0
