activity_vector,freezing_vector,animal_name,condition
0.4872409458370271,0,astro3,cxta
0.47635504423446196,0,astro3,cxta
0.453411269359696,0,astro3,cxta
0.4334971108593258,0,astro3,cxta
0.4041435155937025,0,astro3,cxta
0.42263639320051904,0,astro3,cxta
0.46785311825820114,0,astro3,cxta
0.45525607842287913,0,astro3,cxta
0.45928716632122535,0,astro3,cxta
0.43437433151696453,0,astro3,cxta
0.4576523777663361,0,astro3,cxta
0.4616496347982385,0,astro3,cxta
0.45207364655452414,0,astro3,cxta
0.4492088766371842,0,astro3,cxta
0.48628587523399697,0,astro3,cxta
0.44752812335323244,0,astro3,cxta
0.4189241090524232,0,astro3,cxta
0.42216126928979225,0,astro3,cxta
0.436516969487446,0,astro3,cxta
0.4329953739103796,0,astro3,cxta
0.46554179159601766,0,astro3,cxta
0.47414397633329064,0,astro3,cxta
0.490814348446178,0,astro3,cxta
0.48711229613326607,0,astro3,cxta
0.5153073866521166,0,astro3,cxta
0.5188688960390238,0,astro3,cxta
0.5061344393767925,0,astro3,cxta
0.4819908146503503,0,astro3,cxta
0.4897255133697061,0,astro3,cxta
0.49944017676642305,0,astro3,cxta
0.5101659206299503,0,astro3,cxta
0.535064082305961,0,astro3,cxta
0.48997883602685643,0,astro3,cxta
0.5295652619303168,0,astro3,cxta
0.5128418016494841,0,astro3,cxta
0.5100524231894311,0,astro3,cxta
0.536915164489344,0,astro3,cxta
0.5386625975770507,0,astro3,cxta
0.5267718230129871,0,astro3,cxta
0.5181282878633575,0,astro3,cxta
0.5296839493965049,0,astro3,cxta
0.5200105645184109,0,astro3,cxta
0.49064020294782745,0,astro3,cxta
0.5123935146484069,0,astro3,cxta
0.5177325876191592,0,astro3,cxta
0.500120916254644,0,astro3,cxta
0.5605245742094767,0,astro3,cxta
0.5273084352251318,0,astro3,cxta
0.49746907704448323,0,astro3,cxta
0.4960977106321103,0,astro3,cxta
0.5085465118337916,0,astro3,cxta
0.543803230253805,0,astro3,cxta
0.5344466212190117,0,astro3,cxta
0.523113708690844,0,astro3,cxta
0.5184634291170006,0,astro3,cxta
0.5002881272347852,0,astro3,cxta
0.5263839264219436,0,astro3,cxta
0.5064658220514526,0,astro3,cxta
0.5384359801082657,0,astro3,cxta
0.5457815871263856,0,astro3,cxta
0.5462186222319209,0,astro3,cxta
0.5413183665083934,0,astro3,cxta
0.5574748173899226,0,astro3,cxta
0.5374039076994267,0,astro3,cxta
0.503882348286572,0,astro3,cxta
0.5391920034997495,0,astro3,cxta
0.5529881770705461,0,astro3,cxta
0.5470563751082655,0,astro3,cxta
0.5481821510761039,0,astro3,cxta
0.5168292636974448,0,astro3,cxta
0.5341250822175354,1,astro3,cxta
0.5332422293737403,1,astro3,cxta
0.5667818959043502,1,astro3,cxta
0.5582021751083729,1,astro3,cxta
0.5419290524745736,1,astro3,cxta
0.5382846496764961,1,astro3,cxta
0.5641638402880231,1,astro3,cxta
0.5482297787745967,1,astro3,cxta
0.5872658685125559,1,astro3,cxta
0.6079650284875864,1,astro3,cxta
0.6049035642632229,1,astro3,cxta
0.5432970813497864,1,astro3,cxta
0.5885770762198672,1,astro3,cxta
0.5639214659118307,1,astro3,cxta
0.5876419638626897,1,astro3,cxta
0.5815489115027892,0,astro3,cxta
0.5730300669125815,0,astro3,cxta
0.5598649921984923,0,astro3,cxta
0.553744537204455,0,astro3,cxta
0.5668161147547791,0,astro3,cxta
0.5645112115047703,0,astro3,cxta
0.5672592055782141,0,astro3,cxta
0.5601577402118355,0,astro3,cxta
0.5548494755704738,0,astro3,cxta
0.525595309590103,0,astro3,cxta
0.5252921358132503,0,astro3,cxta
0.5334027358999088,0,astro3,cxta
0.5276836498287509,0,astro3,cxta
0.5580158836684347,0,astro3,cxta
0.5447659772958174,0,astro3,cxta
0.5345126802861105,0,astro3,cxta
0.55304908946164,0,astro3,cxta
0.5143053429475516,0,astro3,cxta
0.5015713587835147,0,astro3,cxta
0.5159755418612448,0,astro3,cxta
0.5116175888193306,0,astro3,cxta
0.5330271659798781,0,astro3,cxta
0.4828238763202798,0,astro3,cxta
0.46329424117451523,0,astro3,cxta
0.5195697122991378,0,astro3,cxta
0.5221969012771595,0,astro3,cxta
0.47470557293908544,0,astro3,cxta
0.49321779024000395,0,astro3,cxta
0.4775044718039832,0,astro3,cxta
0.48547636354923035,1,astro3,cxta
0.4954019523314524,1,astro3,cxta
0.5018879173819065,1,astro3,cxta
0.48603776445570324,1,astro3,cxta
0.4918440997252423,1,astro3,cxta
0.503342127947171,1,astro3,cxta
0.5297879680178443,1,astro3,cxta
0.528317421954955,1,astro3,cxta
0.5530138131293089,1,astro3,cxta
0.5002860413559428,1,astro3,cxta
0.5175957152134393,1,astro3,cxta
0.5141704583395688,1,astro3,cxta
0.5109197862879916,1,astro3,cxta
0.5363707607303528,1,astro3,cxta
0.5777053896026256,1,astro3,cxta
0.5572591661879094,1,astro3,cxta
0.5142728024592284,1,astro3,cxta
