"","pred_a1","pred_a0","pred_mu","pred_sigma","pred_mu_sigma","variance","mean_peak","mu_1","mu_2","mu_3","mu_4","mu_5","mu_6","mu_7","mu_8","CellID","animal"
"1056","0.1","0","4.2","0.7","1.2","0.777817459305202","4.55","4","5.1",NA,NA,NA,NA,NA,NA,"1056","M5."
"1057","0.3","0","4.2","3.8","0.4","1.27279220613579","4.8","3.9","5.7",NA,NA,NA,NA,NA,NA,"1057","M5."
"1058","0.2","0","4.9","2","0.2","0.494974746830583","5.25","4.9","5.6",NA,NA,NA,NA,NA,NA,"1058","M5."
"1059","0.1","0","4","0.5","0.7","0.848528137423857","3.9","4.5","3.3",NA,NA,NA,NA,NA,NA,"1059","M5."
"106","0","0","2.6","1.8","0.1","0.450924975282289","2.36666666666667","2.4","2.8","1.9",NA,NA,NA,NA,NA,"106","F5."
"1060","0.1","0","3.1","0.9","0.3","0.424264068711929","2.9","2.6","3.2",NA,NA,NA,NA,NA,NA,"1060","M5."
"1061","0.1","0","3.3","1.5","0.1","0.424264068711929","3.4","3.1","3.7",NA,NA,NA,NA,NA,NA,"1061","M5."
"1062","0.2","0","4","2.4","1.3","0.636396103067893","3.75","3.3","4.2",NA,NA,NA,NA,NA,NA,"1062","M5."
"1063","0.2","0","4.3","1.9","0.4","0.353553390593274","4.45","4.7","4.2",NA,NA,NA,NA,NA,NA,"1063","M5."
"1064","0.2","0","3.5","1.9","0.1","0","3.6","3.6","3.6",NA,NA,NA,NA,NA,NA,"1064","M5."
"1065","0.3","0","6.1","2.7","2.4","1.48492424049175","6.15","7.2","5.1",NA,NA,NA,NA,NA,NA,"1065","M5."
"1066","0.2","0","5.1","2.4","1","0.848528137423857","5.2","5.8","4.6",NA,NA,NA,NA,NA,NA,"1066","M5."
"1067","0.1","0","7.6","1.6","0.2","0.0707106781186545","7.05","7.1","7",NA,NA,NA,NA,NA,NA,"1067","M5."
"1068","0.3","0","22.3","6","11.9","20.0818325856979","24.3","10.1","38.5",NA,NA,NA,NA,NA,NA,"1068","M5."
"1069","0.3","0","5.7","1.1","3.1","1.62634559672906","5.95","7.1","4.8",NA,NA,NA,NA,NA,NA,"1069","M5."
"107","0","0","35.2","0.1","0.7","15.5576347816755","23.9","41.7","17.1","12.9",NA,NA,NA,NA,NA,"107","F5."
"1070","0.1","0","8.8","1.2","1.8","1.20208152801713","8.15","7.3","9",NA,NA,NA,NA,NA,NA,"1070","M5."
"1071","0.1","0","6.3","0.8","1.9","1.20208152801713","6.65","7.5","5.8",NA,NA,NA,NA,NA,NA,"1071","M5."
"1072","0.1","0","8.7","1.3","2.5","1.69705627484771","7.8","9","6.6",NA,NA,NA,NA,NA,NA,"1072","M5."
"1073","0.2","0","4.5","2.6","0.3","0.282842712474619","4.8","4.6","5",NA,NA,NA,NA,NA,NA,"1073","M5."
"1074","0.1","0","0.1","0.9","0.2","0.353553390593274","0.35","0.1","0.6",NA,NA,NA,NA,NA,NA,"1074","M5."
"1075","0.2","0","3","4.1","0.3","0.14142135623731","3.1","3","3.2",NA,NA,NA,NA,NA,NA,"1075","M5."
"1076","0","0","0.4","0.7","0.3","0.212132034355964","0.25","0.4","0.1",NA,NA,NA,NA,NA,NA,"1076","M5."
"1077","0.1","0","0.3","1.7","0.2","0.14142135623731","0.2","0.1","0.3",NA,NA,NA,NA,NA,NA,"1077","M5."
"1078","0.1","0","0.4","1.2","0.9","0.989949493661167","0.8","1.5","0.1",NA,NA,NA,NA,NA,NA,"1078","M5."
"1079","0.2","0","4.7","3.1","3.6","3.18198051533946","4.75","7","2.5",NA,NA,NA,NA,NA,NA,"1079","M5."
"108","0","0","2.9","5.1","0.4","0.808290376865476","2.73333333333333","2.6","3.6","2",NA,NA,NA,NA,NA,"108","F5."
"1080","0.1","0","17.5","1.5","10.8","21.2839141137151","18.15","33.2","3.1",NA,NA,NA,NA,NA,NA,"1080","M5."
"1081","0.2","0","20.2","2","11.4","19.869700551342","20.65","34.7","6.6",NA,NA,NA,NA,NA,NA,"1081","M5."
"1082","0.1","0","15","2.4","13.2","25.3851334445971","21.35","3.4","39.3",NA,NA,NA,NA,NA,NA,"1082","M5."
"1083","0","0","19.6","0.9","8.9","12.6572113832392","24.85","33.8","15.9",NA,NA,NA,NA,NA,NA,"1083","M5."
"1084","0.1","0","7","1.2","5.6","3.95979797464467","4.9","7.7","2.1",NA,NA,NA,NA,NA,NA,"1084","M5."
"1085","0.1","0","1.8","0.7","1.2","0.848528137423857","1.2","0.6","1.8",NA,NA,NA,NA,NA,NA,"1085","M5."
"1086","0.1","0","2.3","2.8","0.2","2.05060966544099","1.75","0.3","3.2",NA,NA,NA,NA,NA,NA,"1086","M5."
"1087","0.1","0","3.6","2.3","5.1","4.94974746830583","4.3","7.8","0.8",NA,NA,NA,NA,NA,NA,"1087","M5."
"1088","0.1","0","7","1.7","1.2","0.707106781186548","6.7","6.2","7.2",NA,NA,NA,NA,NA,NA,"1088","M5."
"1089","0","0","15.8","0.5","11.9","20.2939646200539","17.45","3.1","31.8",NA,NA,NA,NA,NA,NA,"1089","M5."
"109","0","0","1.7","3.5","0.6","0.472581562625261","1.73333333333333","1.9","1.2","2.1",NA,NA,NA,NA,NA,"109","F5."
"1090","0.3","0","2.9","4.4","1.5","2.61629509039023","2.05","3.9","0.2",NA,NA,NA,NA,NA,NA,"1090","M5."
"1091","0.1","0","0.3","1.1","0.1","0.353553390593274","0.35","0.1","0.6",NA,NA,NA,NA,NA,NA,"1091","M5."
"1092","0.2","0","5.5","2.7","1.6","1.13137084989848","5.5","6.3","4.7",NA,NA,NA,NA,NA,NA,"1092","M5."
"1093","0.1","0","2.5","0","8.4","1.06066017177982","28.85","28.1","29.6",NA,NA,NA,NA,NA,NA,"1093","M5."
"1094","0.1","0","23.8","4.4","10","15.4856385079854","27.05","38","16.1",NA,NA,NA,NA,NA,NA,"1094","M5."
"1095","0.1","0","6","2.8","0.5","1.13137084989848","6.1","6.9","5.3",NA,NA,NA,NA,NA,NA,"1095","M5."
"1096","0.2","0","8","1.8","0.9","1.34350288425444","7.05","8","6.1",NA,NA,NA,NA,NA,NA,"1096","M5."
"1097","0.1","0","18.1","2.8","11.6","19.9404112294606","20.7","34.8","6.6",NA,NA,NA,NA,NA,NA,"1097","M5."
"1098","0.3","0","5.6","4.1","0.1","0.0707106781186551","5.65","5.7","5.6",NA,NA,NA,NA,NA,NA,"1098","M5."
"1099","0.2","0","3.2","6.6","0.6","3.95979797464467","2.9","5.7","0.1",NA,NA,NA,NA,NA,NA,"1099","M5."
"11","0","0","12.9","0.8","10.5","14.1860259880395","17.7666666666667","4.2","32.5","16.6",NA,NA,NA,NA,NA,"11","F3."
"110","0","0","2.3","3.6","0.3","0.635085296108588","1.93333333333333","2.3","2.3","1.2",NA,NA,NA,NA,NA,"110","F5."
"1100","0.3","0","5","5.7","1.5","2.54558441227157","4.5","2.7","6.3",NA,NA,NA,NA,NA,NA,"1100","M5."
"1101","0.1","0","4.8","3.2","0.8","1.13137084989848","4.6","3.8","5.4",NA,NA,NA,NA,NA,NA,"1101","M5."
"1102","0","0","3.1","1.5","0.3","0.141421356237309","3.2","3.3","3.1",NA,NA,NA,NA,NA,NA,"1102","M5."
"1103","0.1","0","14.3","2.6","12.8","19.0211724139181","21.35","34.8","7.9",NA,NA,NA,NA,NA,NA,"1103","M5."
"1104","0","0","14.7","0.2","2","2.47487373415292","14.65","16.4","12.9",NA,NA,NA,NA,NA,NA,"1104","M5."
"1105","0.1","0","6","2.3","0.8","0.282842712474619","5.5","5.7","5.3",NA,NA,NA,NA,NA,NA,"1105","M5."
"1106","0","0","8.9","2","10.8","1.4142135623731","5.4","4.4","6.4",NA,NA,NA,NA,NA,NA,"1106","M5."
"1107","0","0","3","0.5","1.5","1.41421356237309","3.1","2.1","4.1",NA,NA,NA,NA,NA,NA,"1107","M5."
"1108","0.1","0","6.2","2.6","0.5","0.212132034355964","6.35","6.5","6.2",NA,NA,NA,NA,NA,NA,"1108","M5."
"1109","0.1","0","17.2","3.1","13.3","3.60624458405139","2.65","0.1","5.2",NA,NA,NA,NA,NA,NA,"1109","M5."
"111","0","0","37.7","1","7","3.37786915081091","42.5","38.9","43","45.6",NA,NA,NA,NA,NA,"111","F5."
"1110","0.1","0","6.4","1.6","2.7","2.82842712474619","5.1","3.1","7.1",NA,NA,NA,NA,NA,NA,"1110","M5."
"1111","0.1","0","6.4","3","0.3","0.141421356237309","6.5","6.6","6.4",NA,NA,NA,NA,NA,NA,"1111","M5."
"1112","0.1","0","6.5","1.8","3.4","2.61629509039023","5.55","7.4","3.7",NA,NA,NA,NA,NA,NA,"1112","M5."
"1113","0.2","0","17.3","2.1","12.2","19.657568516986","19.8","33.7","5.9",NA,NA,NA,NA,NA,NA,"1113","M5."
"1114","0.1","0","6.6","2","2.7","2.40416305603426","7","8.7","5.3",NA,NA,NA,NA,NA,NA,"1114","M5."
"1115","0.1","0","5.3","1.6","2.2","1.83847763108502","4.5","3.2","5.8",NA,NA,NA,NA,NA,NA,"1115","M5."
"1116","0.1","0","7","2.3","0.2","0.282842712474619","7.1","6.9","7.3",NA,NA,NA,NA,NA,NA,"1116","M5."
"1117","0","0","8.3","1.5","2.9","2.68700576850888","6.9","5","8.8",NA,NA,NA,NA,NA,NA,"1117","M5."
"1118","0.2","0","4.4","3.9","2.2","1.76776695296637","4.85","3.6","6.1",NA,NA,NA,NA,NA,NA,"1118","M5."
"1119","0.1","0","3.1","2.6","2.3","3.04055915910215","2.45","0.3","4.6",NA,NA,NA,NA,NA,NA,"1119","M5."
"112","0","0","4.8","0.8","0.3","0.351188458428425","4.66666666666667","4.3","5","4.7",NA,NA,NA,NA,NA,"112","F5."
